"CustAgeNormalized","OrdQtyNormalized","UnitCostNormalized","UnitPriceNormalized","DiscountNormalized","ShipWeightNormalized","ShipCostNormalized","DelTimeNormalized","MonthOHE.MonthApr","MonthOHE.MonthAug","MonthOHE.MonthDec","MonthOHE.MonthFeb","MonthOHE.MonthJan","MonthOHE.MonthJul","MonthOHE.MonthJun","MonthOHE.MonthMar","MonthOHE.MonthMay","MonthOHE.MonthNov","MonthOHE.MonthOct","MonthOHE.MonthSep","YearOHE.y2013","YearOHE.y2014","YearOHE.y2015","YearOHE.y2016","YearOHE.y2017","YearOHE.y2018","YearOHE.y2019","YearOHE.y2020","YearOHE.y2021","YearOHE.y2022","YearOHE.y2023","CustGenderOHE.CustGenderF","CustGenderOHE.CustGenderM","CountryOHE.CountryAUS","CountryOHE.CountryCanada","CountryOHE.CountryDE","CountryOHE.CountryFR","CountryOHE.CountryUK","CountryOHE.CountryUS","ProdCatOHE.ProdCatAccessories","ProdCatOHE.ProdCatBikes","ProdCatOHE.ProdCatClothing","SizeOHE.SizeL","SizeOHE.SizeM","SizeOHE.SizeS","SizeOHE.SizeXL","ColorOHE.ColorBlack","ColorOHE.ColorBlue","ColorOHE.ColorGreen","ColorOHE.ColorRed","ColorOHE.ColorWhite","WarrantyOHE.Warranty1Y","WarrantyOHE.Warranty2Y","WarrantyOHE.Warranty3Y","WarrantyOHE.WarrantyLifetime","EcoFriendlyOHE.EcoFriendlyFalse","EcoFriendlyOHE.EcoFriendlyTrue","InsuranceOHE.InsuranceBasic","InsuranceOHE.InsuranceNone","InsuranceOHE.InsurancePremium"
-0.722796766898515,1.88262849481499,-1.16357996186233,-1.27665336024279,-1.57107746334205,1.06758616838195,0.398141149177782,0.397870256155926,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
-1.27302394868327,-1.097729839262,0.352345942861809,0.457817132833714,-1.4558485230629,0.567533481288543,-1.33290416784765,0.786415428183198,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
-0.906205827493434,-0.884847101113644,-0.335484666084699,-0.280549847282271,-0.418788060550545,-0.710113097218068,-0.88806873395712,-0.379220087898617,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
-0.722796766898515,0.392449327776495,-0.335484666084699,-0.260842762734314,0.0421277005660576,0.880963634442787,0.840434666303223,0.786415428183198,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
-1.54813753957565,1.45686301851828,-0.887548196603119,-0.888488853479183,0.733501342240962,1.11304550357227,1.35680690058268,0.00932508412865453,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
-1.36472847898073,1.77618712574081,-0.14214105422855,-0.0641508710689335,-1.11016170222545,1.07476395814885,-1.5279054968266,1.56350577223774,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
2.21174820262018,-0.0333161485202179,-0.20866694537635,-0.143814671157615,-1.57107746334205,-0.545023932579573,1.61426675578952,1.56350577223774,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
2.48686179351256,-0.991288470187823,1.68122043914089,1.71252540530928,-0.994932761946299,-1.21973617066733,-0.280913758067353,1.17496060021047,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
1.47811196024051,-1.097729839262,1.67679210500702,1.70793569711234,0.38781452140351,-0.375149574763151,0.459147151539912,0.00932508412865453,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
-0.997910357790893,-0.884847101113644,1.75377386082381,1.73440975382109,-1.2253906425046,0.012451072648967,1.08518493768462,-0.767765259925889,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1.66152102083543,1.03109754222157,-0.611516431343909,-0.594853739538525,-0.188330179992244,-1.13360269346464,1.11241976016772,1.56350577223774,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
0.652771187563375,-0.246198886668574,0.13389071103066,0.229484242871724,1.07918816307841,-0.0377934557192705,0.970798683255631,0.397870256155926,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0.102544005778619,1.3504216494441,-0.388660827017637,-0.639487185201595,1.54010392419502,1.26856428185491,-0.240606220792374,1.56350577223774,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
